Date : 2026-02-19 14:51:50
Directory : c:\academia\src\spring_tr4\src
Total : 57 files,  4334 codes, 2 comments, 711 blanks, all 5047 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| HTML            |         16 |      2,029 |          0 |        240 |      2,269 |
| Java            |         32 |      1,719 |          2 |        374 |      2,095 |
| Java Properties |          5 |        314 |          0 |         48 |        362 |
| PostCSS         |          1 |        200 |          0 |         36 |        236 |
| XML             |          1 |         36 |          0 |          6 |         42 |
| JavaScript      |          1 |         26 |          0 |          5 |         31 |
| MS SQL          |          1 |         10 |          0 |          2 |         12 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         57 |      4,334 |          2 |        711 |      5,047 |
| ..                                                                                              |          1 |         -2 |          0 |         -1 |         -3 |
| ..\.mvn                                                                                         |          1 |         -2 |          0 |         -1 |         -3 |
| ..\.mvn\wrapper                                                                                 |          1 |         -2 |          0 |         -1 |         -3 |
| main                                                                                            |         56 |      4,336 |          2 |        712 |      5,050 |
| main\java                                                                                       |         32 |      1,719 |          2 |        374 |      2,095 |
| main\java\com                                                                                   |         32 |      1,719 |          2 |        374 |      2,095 |
| main\java\com\example                                                                           |         32 |      1,719 |          2 |        374 |      2,095 |
| main\java\com\example\todo                                                                      |         32 |      1,719 |          2 |        374 |      2,095 |
| main\java\com\example\todo (Files)                                                              |          1 |          9 |          0 |          4 |         13 |
| main\java\com\example\todo\aop                                                                  |          2 |         64 |          2 |         15 |         81 |
| main\java\com\example\todo\api                                                                  |          4 |        339 |          0 |         79 |        418 |
| main\java\com\example\todo\config                                                               |          4 |        158 |          0 |         32 |        190 |
| main\java\com\example\todo\controller                                                           |          5 |        402 |          0 |         54 |        456 |
| main\java\com\example\todo\entity                                                               |          4 |        298 |          0 |         81 |        379 |
| main\java\com\example\todo\exception                                                            |          4 |         81 |          0 |         19 |        100 |
| main\java\com\example\todo\form                                                                 |          2 |         34 |          0 |         15 |         49 |
| main\java\com\example\todo\mapper                                                               |          1 |         13 |          0 |          9 |         22 |
| main\java\com\example\todo\repository                                                           |          2 |         84 |          0 |         21 |        105 |
| main\java\com\example\todo\service                                                              |          3 |        237 |          0 |         45 |        282 |
| main\resources                                                                                  |         24 |      2,617 |          0 |        338 |      2,955 |
| main\resources (Files)                                                                          |          5 |        326 |          0 |         51 |        377 |
| main\resources\mappers                                                                          |          1 |         36 |          0 |          6 |         42 |
| main\resources\static                                                                           |          2 |        226 |          0 |         41 |        267 |
| main\resources\templates                                                                        |         16 |      2,029 |          0 |        240 |      2,269 |
| main\resources\templates (Files)                                                                |         12 |      1,844 |          0 |        210 |      2,054 |
| main\resources\templates\admin                                                                  |          2 |        155 |          0 |         28 |        183 |
| main\resources\templates\error                                                                  |          2 |         30 |          0 |          2 |         32 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
